"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2023-04-19T18:30:00.000Z","56.55","57.45","56.05","56.40","0.09","4.17","33,469,016"
"2023-04-20T18:30:00.000Z","56.40","56.85","56.00","56.45","0.09","4.17","17,566,797"
"2023-04-23T18:30:00.000Z","56.70","58.35","56.45","58.25","3.19","7.27","38,025,412"
"2023-04-24T18:30:00.000Z","58.45","59.10","58.20","58.65","0.69","4.77","35,248,726"
"2023-04-25T18:30:00.000Z","58.65","59.15","58.15","58.90","0.43","4.51","21,479,662"
"2023-04-26T18:30:00.000Z","58.70","59.85","58.70","59.45","0.93","5.01","26,335,870"
"2023-04-27T18:30:00.000Z","60.00","62.00","58.75","61.45","3.36","7.45","67,480,695"
"2023-05-01T18:30:00.000Z","63.50","65.25","63.00","63.85","3.91","7.99","113,585,859"
"2023-05-02T18:30:00.000Z","63.80","64.95","63.35","64.15","0.47","4.55","39,815,830"
"2023-05-03T18:30:00.000Z","64.20","64.55","63.00","63.80","-0.55","3.54","33,370,552"
"2023-05-04T18:30:00.000Z","63.60","64.55","63.00","63.25","-0.86","3.22","35,788,410"
"2023-05-07T18:30:00.000Z","63.25","64.35","63.10","64.20","1.50","5.58","36,532,398"
"2023-05-08T18:30:00.000Z","64.25","65.85","64.10","64.45","0.39","4.47","56,610,570"
"2023-05-09T18:30:00.000Z","64.60","64.70","63.00","64.05","-0.62","3.46","20,934,716"
"2023-05-10T18:30:00.000Z","64.30","65.10","64.05","64.80","1.17","5.25","30,002,815"
"2023-05-11T18:30:00.000Z","64.80","65.85","64.35","65.55","1.16","5.24","32,957,739"
"2023-05-14T18:30:00.000Z","65.75","67.25","65.25","66.75","1.83","5.91","43,571,601"
"2023-05-15T18:30:00.000Z","67.05","68.20","66.90","67.40","0.97","5.05","42,836,803"
"2023-05-16T18:30:00.000Z","67.40","67.60","66.20","66.95","-0.67","3.41","33,520,067"
"2023-05-17T18:30:00.000Z","67.20","67.80","66.50","66.70","-0.37","3.71","28,449,421"
"2023-05-18T18:30:00.000Z","66.95","67.15","65.65","66.80","0.15","4.23","19,419,804"
"2023-05-21T18:30:00.000Z","66.90","67.10","66.10","66.40","-0.60","3.48","14,673,852"
"2023-05-22T18:30:00.000Z","66.50","66.65","66.00","66.05","-0.53","3.55","13,617,230"
"2023-05-23T18:30:00.000Z","66.00","66.20","65.60","66.00","-0.08","4.01","13,233,287"
"2023-05-24T18:30:00.000Z","66.00","68.10","65.85","68.00","3.03","7.11","32,270,687"
"2023-05-25T18:30:00.000Z","68.35","70.00","68.10","69.85","2.72","6.80","45,050,454"
"2023-05-28T18:30:00.000Z","70.50","70.80","69.60","70.15","0.43","4.51","30,903,068"
"2023-05-29T18:30:00.000Z","70.20","71.85","70.00","71.65","2.14","6.22","32,919,579"
"2023-05-30T18:30:00.000Z","71.70","72.00","70.50","71.65","0","4.08","25,124,618"
"2023-05-31T18:30:00.000Z","71.50","73.40","71.25","72.60","1.33","5.41","38,796,472"
"2023-06-01T18:30:00.000Z","73.15","73.25","72.50","72.90","0.41","4.49","22,721,246"
"2023-06-04T18:30:00.000Z","73.60","74.10","73.05","73.70","1.10","5.18","29,709,631"
"2023-06-05T18:30:00.000Z","73.95","74.15","73.05","73.80","0.14","4.22","24,524,411"
"2023-06-06T18:30:00.000Z","74.00","74.25","73.30","73.60","-0.27","3.81","17,304,251"
